"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EPHA3",8.28692307692307,10.2046511627907,2.08771655001133,0.0429834279869718,0.152101723582639,-4.11116429466313
"CCDC151",21.205358974359,24.6767441860465,2.08741913124631,0.0430116830263783,0.152129979180159,-4.11134464479472
"BAI1",-10.2902564102564,51.6976744186046,-2.08735164687281,0.043018096363888,0.152129979180159,-4.11138556384021
"PNOC",12.1308461538461,13.0995348837209,2.08735077807991,0.0430181789345676,0.152129979180159,-4.11138609062557
"KCTD5",7.66094871794872,13.8502325581395,2.08730820144492,0.0430222256175597,0.152129979180159,-4.11141190643198
"KIAA1333",19.1471794871795,51.2946511627907,2.08710628200946,0.043041421527409,0.152170611125098,-4.11153433286005
"DNAJC22",-5.39384615384617,20.2906976744186,-2.0867683020377,0.0430735691138138,0.152257010278989,-4.11173923655904
"AGBL2",-9.3538717948718,12.3455813953488,-2.08619885307443,0.04312778086095,0.152421357233876,-4.11208441954199
"BXDC5",186.561538461538,594.697674418605,2.08556680052692,0.0431880224463303,0.152606952101016,-4.11246747585977
"MYNN",20.5638205128205,51.2006976744186,2.08545077274117,0.0431990891761783,0.152618749935661,-4.11253778607446
"LOC642413",17.0674358974359,39.4767441860465,2.08535478832199,0.0432082460464322,0.152623797383472,-4.11259594844918
"PSMB10",183.587435897436,302.053488372093,2.08523611070455,0.043219570187289,0.152636497072384,-4.11266785939278
"ARHGAP22",70.4539743589743,90.5016279069768,2.08486782049168,0.0432547287460766,0.152720249836581,-4.11289100164541
"RAB3B",-10.0837692307692,28.1955813953488,-2.08471613293696,0.0432692167682929,0.152720249836581,-4.11298289935844
"VGLL1",235.834102564103,229.684651162791,2.08471068513752,0.0432697371789943,0.152720249836581,-4.11298619974428
"MYLK",-3394.00256410257,5122.86046511628,-2.08456126029966,0.0432840133883487,0.152720249836581,-4.11307672200919
"ALPI",-4.32017948717948,20.0397674418605,-2.08450419631138,0.043289466431102,0.152720249836581,-4.11311129047373
"LOC441876",3247.25641025641,6088.60465116279,2.084375424011,0.0433017741404408,0.152720249836581,-4.11318929633478
"ATP9A",9190.4358974359,15381.1627906977,2.084322451934,0.0433068379580426,0.152720249836581,-4.11322138405671
"BRP44L",300.310256410256,661.441860465116,2.08429523240191,0.0433094401861416,0.152720249836581,-4.1132378720138
"CXorf23",19.4208974358974,39.4802325581395,2.08425922619432,0.0433128826439156,0.152720249836581,-4.11325968218561
"ZCCHC10",417.284615384615,1240.74418604651,2.08409451662271,0.0433286331427192,0.152748514090604,-4.11335944904421
"HOXD3",-26.8742564102564,29.6874418604651,-2.08399090053873,0.0433385440918827,0.152756185484667,-4.11342220798259
"COL5A2",29.2475641025641,32.4060465116279,2.08376771535123,0.0433598986492873,0.152761634397644,-4.1135573811783
"PJA2",-153.123076923077,547.093023255814,-2.0837565523892,0.0433609669732814,0.152761634397644,-4.1135641418216
"CHM",46.6560256410256,57.303023255814,2.08370783821279,0.0433656293141618,0.152761634397644,-4.11359364438064
"BHLHE22",-14.0530769230769,64.7186046511628,-2.08365140855289,0.0433710306378849,0.152761634397644,-4.11362781904756
"CKMT1A",1622.54846153846,2114.47209302326,2.08234700340745,0.0434960497065014,0.153129978539931,-4.11441761098213
"CREB3L2",105.321794871795,252.641860465116,2.08229427136801,0.043501110369535,0.153129978539931,-4.11444953211593
"PLEKHO1",305.071794871795,753.302325581395,2.08224594064029,0.0435057490938947,0.153129978539931,-4.11447878844884
"POLR1C",303.920512820512,885.883720930233,2.08223682963453,0.0435066236056283,0.153129978539931,-4.11448430361742
"FANCF",102.561282051282,271.56976744186,2.08198302376638,0.0435309911199369,0.153188443269357,-4.11463793340683
